time;Unnamed
0.00000;0
0.00184;0
0.03304;1
0.13464;0
0.16574;1
0.26722;0
0.29774;1
0.40012;0
0.43111;1
0.53259;0
0.56358;1
0.66506;0
0.69629;1
0.79673;0
0.82802;1
0.92896;0
0.96016;1
1.06100;0
1.09198;1
1.19357;0
1.22456;1
1.32550;0
1.35675;1
1.45796;0
1.48979;1
1.59204;0
1.62315;1
1.72484;0
1.75639;1
1.85801;0
1.88953;1
1.99034;0
2.02195;1
2.12345;0
2.15450;1
2.25603;0
2.28682;1
2.38778;0
2.41926;1
2.52000;0
2.55105;1
2.65211;0
2.68396;1
2.78545;0
2.81613;1
2.91708;0
2.94766;1
3.04854;0
3.07941;1
3.18131;0
3.21282;1
3.31470;0
3.34563;1
3.44633;0
3.47644;1
3.57830;0
3.60925;1
3.71027;0
3.74130;1
3.84312;0
3.87478;1
3.97546;0
4.00656;1
4.10778;0
4.13877;1
4.24027;0
4.27064;1
4.37084;0
4.40290;1
4.50372;0
4.53537;1
4.63605;0
4.66807;1
4.76898;0
4.80018;1
4.90185;0
4.93334;1
5.03435;0
5.06563;1
5.16713;0
5.19821;1
5.29919;0
5.33122;1
5.43300;0
5.46425;1
5.56471;0
5.59664;1
5.69829;0
5.72960;1
5.83088;0
5.86135;1
5.96141;0
5.99289;1
6.09445;0
6.12605;1
6.22721;0
6.25776;1
6.35797;0
6.38906;1
6.49108;0
6.52297;1
